目录,题型,题干,正确答案,答案解析,难易度,知识点,选项数,A,B,C,D,,
/第二章,单选题,（）是中国近代历史上第一个比较系统的发展资本主义的方案，反映了太平天国某些领导人在后期试图通过向外国学习来寻求出路的一种努力。,B ,,易,,4,《天朝田亩制度》,《资政新篇》,《救亡决论》,《天演论》,,
/第二章,多选题,以下关于太平天国农民起义的历史意义，正确的有（）。,ABCD,,易,,4,太平天国起义沉重打击了封建统治阶级，强烈撼动了清政府的统治根基,太平天国起义作为亚洲民族解放运动之一，冲击了西方殖民主义者在亚洲的统治,太平天国起义在一定程度上削弱了封建统治的精神支柱,太平天国起义有力地打击了外国侵略势力,,
/第二章,判断题,拜上帝教教义正确地指导了斗争，给农民战争带来了积极的促进作用。,B,,中,,2,正确,错误,,,,
/第二章,判断题,太平天国的领袖们通过借助西方资本主义侵略者的力量，反抗清朝的统治。,B,,中,,2,正确,错误,,,,
/第二章,判断题,太平军所进行的战争，是一次反对清政府腐朽统治和地主阶级压迫、剥削的正义战争。,A,,易,,2,正确,错误,,,,
/第二章,多选题,19世纪6、70年代，为了挽救清政府的统治危机，封建统治阶级中的部分成员主张（）。,ACD,,难,,4,引进、仿造西方的武器装备,改革政治制度，建立内阁,学习西方的科学技术,创设近代企业,,
/第二章,单选题,以下（）不是“洋务派”官员。,C,,易,,4,张之洞,奕?,倭仁,崇厚,,
/第二章,单选题,最先对洋务派兴办洋务事业的指导思想作出比较完整表述的是（）。,B,,难,,4,林则徐,冯桂芬,康有为,洪仁玕,,
/第二章,单选题,冯桂芬在（）一书中强调，为了应对西方的挑战，中国亟须进行改革。,D,,中,,4,《资政新篇》,《救亡决论》,《劝学篇》,《校颁庐抗议》,,
/第二章,多选题,从19世纪60到90年代，洋务派举办的洋务事业主要包括（）。,ABCD,,易,,4,兴办近代企业,建立新式海陆军,创办新式学堂,派遣留学生,,
/第二章,单选题,洋务派兴办的军用工业不包括（）。,D,,中,,4,江南制造总局,金陵机器局,福州船政局,开平矿务局,,
/第二章,单选题,洋务派兴办的民用企业多数采取（）的方式。,B,,易,,4,完全官办,官督商办,外资主导,独立商办,,
/第二章,单选题,以下由洋务派兴办的近代企业中，不是由李鸿章筹办或控制的民用企业是（）。,D,,难,,4,轮船招商局,开平矿务局,天津电报局,天津机器局,,
/第二章,判断题,在洋务运动中，官督商办的民用企业基本上是资本主义性质的近代企业。,A,,易,,2,正确,错误,,,,
/第二章,单选题,洋务派从19世纪70到90年代建立的四支水师中，（）是海军主力。,D,,易,,4,福建水师,广东水师,南洋水师,北洋水师,,
/第二章,单选题,（）不是洋务派创办的新式学堂类型。,A,,难,,4,文法学堂,翻译学堂,工艺学堂,军事学堂,,
/第二章,判断题,洋务派兴办洋务新政，主要是为了使中国朝着独立的资本主义方向发展。,B,,中,,2,正确,错误,,,,
/第二章,单选题,中国近代教育开始于（）。,A,,易,,4,洋务运动时期,维新运动时期,清末“新政”时期,中华人民共和国成立后,,
/第二章,判断题,洋务运动历时30多年，办起了一批企业，建立了强大的海军，使中国富强了起来。,B,,中,,2,正确,错误,,,,
/第二章,单选题,（）标志着以“自强”“求富”为目标的洋务运动的失败。,C,,易,,4,林则徐被贬新疆伊犁,英法军队攻占北京,北洋海军全军覆没,《辛丑条约》签订,,
/第二章,判断题,洋务运动时期，传统的“重本抑末”等观念受到冲击，工商业者的地位上升。,A,,易,,2,正确,错误,,,,
/第二章,判断题,洋务派派遣赴美幼童和官费赴欧留学生，是为了培养通晓洋务的人才。,A,,易,,2,正确,错误,,,,
/第二章,多选题,以下（）是由洋务派创办的新式学堂。,AB,,难,,4,京师同文馆,船政学堂,京师大学堂,时务学堂,,
/第二章,单选题,湖北枪炮厂是由洋务派官员（）创办的。,A,,中,,4,张之洞,曾国藩,左宗棠,李鸿章,,
/第二章,多选题,洋务派兴办洋务事业的目的有（）。,ABD,,中,,4,购买和制造洋枪洋炮以镇压农民起义,借此加强海防、边防,发展中国的资本主义经济,发展本集团的政治、经济、军事实力,,
/第二章,单选题,冯桂芬提出，“以中国之伦常名教为原本，辅以诸国富强之术”。这个思想后来被（）进一步概括为“中体西用”。,C,,易,,4,郑观应,李鸿章,张之洞,奕?,,
/第二章,单选题,北洋舰队是清政府的海军主力，由（）管辖，拥有舰艇20多艘。经甲午一战，北洋舰队全军覆没。,C,,易,,4,左宗棠,关天培,李鸿章,沈葆桢,,
/第二章,单选题,中国于（）出现了一个民族资本设厂的高潮，中国民族资本主义得到初步发展。,C,,中,,4,1840年-1842年,1860年-1870年,1895年-1898年,1908年-1911年,,
/第二章,单选题,19世纪末，中国民族资本主义有了初步发展，新兴的民族资产阶级迫切要求挣脱外国资本主义和国内封建势力的压迫和束缚。其最终目的是（）。,D,,中,,4,为受压迫的群众谋取更多利益,推翻清朝政府的统治,获得民族独立和解放,为发展资本主义开辟道路,,
/第二章,多选题,资产阶级维新派的主要代表人物有（）。,ABCD,,易,,4,康有为,梁启超,谭嗣同,严复,,
/第二章,多选题,资产阶级维新派通过（）来宣传维新主张。,ABCD,,易,,4,向皇帝上书,著书立说,介绍外国变法的经验教训,办学会、设学堂、办报纸,,
/第二章,单选题,（）不是资产阶级维新派办的报纸。,C,,难,,4,《时务报》,《国闻报》,《民报》,《湘报》,,
/第二章,单选题,（）不是资产阶级维新派办的学会。,B,,易,,4,强学会,同盟会,南学会,保国会,,
/第二章,单选题,（）在1895年曾联合在京参加会试的1300多名举人共同发起“公车上书”。,A,,易,,4,康有为,沈葆桢,杨深秀,严复,,
/第二章,多选题,康有为写了（）宣传维新变法主张。,AB,,中,,4,《新学伪经考》,《孔子改制考》,《变法通议》,《仁学》,,
/第二章,多选题,康有为向光绪皇帝进呈了（），以介绍外国变法的经验教训。,ACD,,难,,4,《日本变政考》,《资政新篇》,《俄彼得变政记》,《波兰分灭记》,,
/第二章,多选题,维新派创立的比较重要的学堂有（）。,AD,,难,,4,广州万木草堂,京师同文馆,马尾船政学堂,长沙时务学堂,,
/第二章,判断题,维新派办学堂、办报纸、办学会，目的是制造维新舆论，培养变法骨干，组织革新力量。,A,,易,,2,正确,错误,,,,
/第二章,多选题,维新派与守旧派的论战主要围绕（）。,ABCD,,易,,4,要不要变法,要不要兴民权、设议院,要不要废八股、改科举、兴西学,要不要实行君主立宪,,
/第二章,判断题,维新派认为只有君主立宪制度才是当时中国理想的政治方案。,A,,易,,2,正确,错误,,,,
/第二章,判断题,维新派与守旧派的论战，是资产阶级思想与封建主义思想在中国的第一次正面交锋。,A,,易,,2,正确,错误,,,,
/第二章,单选题,1898年6月11日，光绪皇帝宣布开始变法，并在此后的103天中，接连发布了一系列推行新政的政令，史称（）。,B,,易,,4,洋务运动,戊戌变法,“新政”,“预备仿行宪政”,,
/第二章,多选题,“戊戌变法”变法的内容有（）。,ABCD,,易,,4,裁汰冗员，澄清吏治,改练新式陆军,创设京师大学堂,提倡西法垦殖，建立新式农场,,
/第二章,判断题,戊戌维新是一场资产阶级性质的改良运动。,A,,易,,2,正确,错误,,,,
/第二章,判断题,光绪皇帝所颁布的新政命令，大多付诸实施，促进了资本主义工商业的发展。,B,,中,,2,正确,错误,,,,
/第二章,判断题,在光绪皇帝发布的新政诏令中，采纳了维新派提出的开国会、定宪法等政治主张，使资产阶级享受了一定程度的政治权利。,B,,难,,2,正确,错误,,,,
/第二章,多选题,（）、林旭、杨锐、杨深秀、康广仁，六位维新人士同遭杀害，史称“戊戌六君子”。,AB,,中,,4,谭嗣同,刘光第,康有为,梁启超,,
/第二章,单选题,经过密谋策划，守旧势力于1898年9月21日发动政变，（）以“训政”的名义，重新独揽大权，将光绪皇帝软禁于中南海瀛台，同时下令搜捕维新人士。,A,,易,,4,慈禧太后,载沣,奕劻,善耆,,
/第二章,单选题,“百日维新”如同昙花一现，除（）被保留下来以外，其余新政措施大都被废除。,B,,易,,4,广州万木草堂,京师大学堂,《时务报》,长沙时务学堂,,
/第二章,多选题,戊戌维新运动在中国近代史上仍然有着重大的历史意义，因为（）。,ABCD,,易,,4,戊戌维新运动是一场思想启蒙运动,戊戌维新运动是一次爱国救亡运动,戊戌维新运动是一场资产阶级性质的政治改良运动,维新派提出了许多革除社会陋习的主张,,
/第二章,多选题,戊戌维新运动失败的原因有（）。,ABCD,,易,,4,维新派没有形成严密的组织,维新派不掌握实权和军队,维新派寄希望于没有实权的光绪皇帝,维新派没有发动群众,,
/第二章,单选题,（）不是维新派本身存在的局限性。,C,,易,,4,不敢否定封建主义,对帝国主义抱有幻想,坚决排斥西方文化,惧怕人民群众,,
/第二章,单选题,谭嗣同慷慨就义前喟叹“有心杀贼，无力回天”。事实上，真正的“回天之力”存在于（）。,D,,易,,4,民族资产阶级本身,对中国友好的少数西方人,封建统治阶级中有改革倾向的人,亿万民众之中,,
/第二章,单选题,康有为在每次上书中，都反复向光绪皇帝强调“即无强敌之通，揭竿斩术，已可忧危”，使皇帝及其大臣们“求为长安布衣而不可得”。这表明维新派（）。,D,,易,,4,幻想通过和平、合法的手段，实现自上而下的改良,认为君主立宪制无所不能,幻想西方列强能帮助自己变法维新,惧怕、仇视人民群众,,
/第二章,多选题,戊戌维新运动的失败，主要是由于（）。,BD,,中,,4,人民群众的反抗,维新派自身的局限,帝国主义列强的干涉,强大的守旧势力的反对,,
/第二章,单选题,（）不是维新派大力传播的思想观念。,B,,易,,4,西方资产阶级的社会政治学说,反封建主义的思想,自由平等、社会进化观念,西方自然科学知识,,
/第二章,单选题,维新派主张用（）取代君主专制制度。,A,,易,,4,君主立宪制,总统共和制,议会共和制,人民代表大会制度,,
/第二章,单选题,（）不适合用以描述维新变法中的光绪皇帝。,B,,易,,4,富有爱国心,老谋深算,想要有所作为,并无实权,,
/第二章,单选题,谭嗣同指出，“君末也，民本也”；严复认为，国家是“民之公产”。这表明维新派（）。,A,,易,,4,批判封建君主专制制度,主张全面学习西方政治制度,主张废除科举八股,主张摒弃仁义礼智信,,
/第三章,单选题,中国民主革命的伟大先行者（）发动和领导了辛亥革命，推翻了清王朝统治，结束了统治中国几千年的君主专制制度，以巨大的震撼力和影响力推动了中国社会变革。,A,,易,,4,孙中山,陈天华,秋瑾,邹容,,
/第三章,单选题,（）开创了完全意义上的近代民族民主革命。,A,,易,,4,辛亥革命,“二次革命”,五四运动,大革命,,
/第三章,单选题,（）打开了中国进步潮流的闸门，传播了民主共和理念，为实现中华民族伟大复兴探索了道路。,D,,难,,4,维新变法,同盟会的成立,“二次革命”,辛亥革命,,
/第三章,判断题,辛亥革命改变了旧中国半殖民地半封建的社会性质。,B,,中,,2,正确,错误,,,,
/第三章,判断题,辛亥革命赶跑了皇帝，改变了中国人民的悲惨命运，实现了民族独立、人民解放的历史任务。,B,,中,,2,正确,错误,,,,
